                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.94194,                 2.1542,                0.82374,                  1.148,                 0.8124,                0.70609,                 0.7393,                0.56022,                0.80428,                0.69941,                0.72448,                0.46212,                 1.1142,                 2.2926,                0.95312,                 1.0309,              0.0088615,              0.0088615,              0.0088615
                     25,                0.93668,                 2.1414,                0.82129,                 1.1438,                0.83952,                0.69388,                0.74806,                0.57037,                0.82894,                0.68727,                0.73025,                0.46842,                 1.0421,                  2.282,                0.93217,                0.98019,               0.008812,               0.008812,               0.008812
                     26,                0.93731,                 2.1366,                0.81984,                 1.1442,                0.81712,                0.70794,                0.74751,                0.55813,                0.83431,                0.68733,                0.73338,                 0.4731,                 1.1253,                 2.2229,                0.98881,                 1.0771,              0.0087625,              0.0087625,              0.0087625
                     27,                 0.9435,                 2.1354,                0.81893,                  1.153,                0.85093,                0.68906,                0.74169,                0.57085,                0.83029,                0.67488,                0.72006,                0.46557,                 1.0465,                 2.3238,                0.93345,                0.97763,               0.008713,               0.008713,               0.008713
                     28,                0.92294,                 2.0935,                0.79928,                 1.1393,                0.83611,                0.70825,                0.74784,                0.57241,                0.82275,                0.69549,                0.73077,                0.46881,                 1.0503,                 2.2739,                0.92855,                0.97236,              0.0086635,              0.0086635,              0.0086635
                     29,                0.92109,                 2.1008,                0.80343,                 1.1366,                0.84447,                0.69349,                0.74479,                0.57375,                0.83287,                0.68356,                0.72755,                0.47542,                 1.0636,                 2.2234,                0.93593,                 1.0051,               0.008614,               0.008614,               0.008614
                     30,                0.92544,                 2.1138,                0.80151,                 1.1391,                0.81649,                0.70127,                0.74753,                 0.5734,                0.82327,                0.69108,                0.73461,                0.47411,                 1.0481,                 2.2499,                0.90908,                0.98094,              0.0085645,              0.0085645,              0.0085645
                     31,                0.91888,                 2.1078,                0.79718,                 1.1383,                0.82499,                0.69939,                0.74438,                0.57829,                0.82945,                0.68764,                 0.7269,                 0.4755,                 1.0581,                 2.2265,                 0.9276,                0.97081,               0.008515,               0.008515,               0.008515
                     32,                0.91262,                 2.0831,                0.79856,                 1.1363,                0.82668,                0.70683,                0.74382,                0.57032,                0.81487,                0.69756,                0.72281,                0.47161,                 1.0504,                 2.2029,                 0.9429,                0.98063,              0.0084655,              0.0084655,              0.0084655
                     33,                0.92026,                 2.0677,                0.79435,                  1.136,                0.80697,                0.70101,                0.73578,                0.56874,                0.80912,                 0.6842,                 0.7158,                0.46017,                 1.0944,                 2.2677,                0.96344,                  1.028,               0.008416,               0.008416,               0.008416
                     34,                0.91084,                 2.0844,                0.78583,                 1.1317,                0.89971,                0.60018,                0.74279,                0.56243,                0.89453,                0.59761,                0.71881,                0.45496,                 1.0569,                 2.3656,                0.99497,                0.99052,              0.0083665,              0.0083665,              0.0083665
                     35,                0.91193,                 2.0796,                 0.7882,                 1.1337,                 0.8151,                  0.725,                0.75499,                 0.5761,                 0.8129,                0.70594,                0.73335,                0.46694,                 1.0453,                 2.2226,                0.87796,                0.96471,               0.008317,               0.008317,               0.008317
                     36,                0.91021,                 2.0803,                0.78438,                 1.1296,                0.82465,                0.70945,                0.75071,                0.58478,                0.81523,                0.70422,                0.73842,                0.48693,                 1.0488,                 2.2202,                0.88099,                0.97193,              0.0082675,              0.0082675,              0.0082675
                     37,                0.91027,                 2.0475,                 0.7829,                 1.1326,                0.84377,                0.70637,                0.75351,                0.57879,                0.83487,                0.69884,                0.74108,                0.47657,                 1.0414,                 2.2079,                0.89712,                0.95595,               0.008218,               0.008218,               0.008218
                     38,                 0.8945,                 2.0389,                0.77393,                 1.1211,                0.83989,                0.70141,                 0.7467,                0.57872,                0.84768,                 0.6903,                0.73299,                0.47691,                 1.0387,                 2.2115,                0.90734,                0.97146,              0.0081685,              0.0081685,              0.0081685
                     39,                0.89515,                 2.0451,                0.76034,                 1.1222,                0.84007,                0.70458,                0.75424,                0.58605,                0.85685,                 0.6861,                0.73505,                0.48563,                 1.0442,                 2.2098,                  0.897,                0.97835,               0.008119,               0.008119,               0.008119
                     40,                0.89804,                 2.0264,                0.76944,                 1.1265,                0.83036,                0.71666,                0.75911,                0.59273,                0.82795,                0.70569,                0.74739,                0.49383,                 1.0117,                 2.1444,                0.87252,                0.95643,              0.0080695,              0.0080695,              0.0080695
                     41,                0.90124,                 2.0504,                 0.7739,                 1.1274,                0.82637,                0.71055,                0.75207,                0.57445,                0.81433,                0.70421,                0.73422,                0.47414,                 1.0861,                 2.2166,                 0.9534,                 1.0144,                0.00802,                0.00802,                0.00802
                     42,                0.89645,                 2.0338,                 0.7683,                 1.1209,                0.81935,                0.71194,                0.75359,                0.57101,                0.81258,                0.70229,                0.74013,                 0.4652,                 1.0711,                 2.2164,                0.92074,                0.97436,              0.0079705,              0.0079705,              0.0079705
                     43,                 0.8847,                 2.0224,                0.76191,                 1.1178,                0.83736,                0.70949,                0.74628,                0.57989,                0.83946,                0.70495,                0.74103,                0.49083,                  1.019,                 2.1803,                0.90412,                0.95249,               0.007921,               0.007921,               0.007921
                     44,                0.88549,                 1.9957,                0.76094,                 1.1177,                0.82354,                0.71799,                0.75103,                0.56987,                0.81772,                0.70351,                0.73214,                0.46742,                 1.0586,                 2.2717,                0.93192,                 0.9781,              0.0078715,              0.0078715,              0.0078715
                     45,                0.87778,                  1.992,                0.75092,                 1.1139,                0.82657,                0.73057,                0.76398,                0.58952,                 0.8265,                0.71366,                0.74534,                0.48625,                 1.0226,                  2.218,                0.85104,                0.94122,               0.007822,               0.007822,               0.007822
                     46,                0.87478,                 1.9727,                0.74439,                 1.1131,                0.81073,                0.72643,                0.74973,                   0.58,                0.81478,                0.70994,                0.73574,                0.48418,                  1.032,                 2.1729,                0.89995,                0.96644,              0.0077725,              0.0077725,              0.0077725
                     47,                0.87489,                 1.9819,                0.74906,                  1.108,                0.88122,                 0.6298,                0.74864,                 0.5822,                0.88039,                0.62682,                0.73769,                 0.4815,                 1.0317,                 2.2575,                0.94863,                0.94942,               0.007723,               0.007723,               0.007723
                     48,                0.88284,                 1.9906,                0.75647,                 1.1185,                 0.8384,                0.70779,                0.75053,                0.56639,                 0.8412,                0.68736,                0.73458,                 0.4617,                 1.0749,                 2.1834,                0.93253,                0.97598,              0.0076735,              0.0076735,              0.0076735
                     49,                0.88563,                 1.9845,                0.75248,                 1.1186,                0.82644,                0.71034,                0.75902,                0.58361,                0.83007,                0.70148,                 0.7499,                0.48917,                 1.0379,                 2.1394,                0.88863,                0.97395,               0.007624,               0.007624,               0.007624
                     50,                0.88108,                 1.9898,                0.74631,                 1.1157,                0.83543,                0.70357,                0.75323,                0.58002,                0.83856,                0.68898,                0.73483,                0.47431,                 1.0596,                 2.2226,                0.91799,                0.96505,              0.0075745,              0.0075745,              0.0075745
                     51,                0.86973,                 1.9689,                0.73968,                 1.1094,                0.82476,                 0.7279,                0.76417,                0.58851,                0.81272,                0.71565,                0.74705,                0.49401,                 1.0485,                  2.161,                0.87452,                0.97055,               0.007525,               0.007525,               0.007525
                     52,                0.87726,                  1.959,                  0.742,                 1.1101,                0.83249,                0.72145,                0.76143,                0.58445,                0.83598,                0.71181,                0.75004,                0.49039,                 1.0476,                 2.1724,                0.86109,                0.95266,              0.0074755,              0.0074755,              0.0074755
                     53,                0.87537,                 1.9559,                0.73985,                 1.1085,                0.83717,                0.72356,                0.76263,                0.59346,                 0.8305,                0.71359,                 0.7481,                 0.4983,                 1.0208,                 2.1854,                0.86341,                0.95483,               0.007426,               0.007426,               0.007426
                     54,                0.86627,                 1.9397,                0.73453,                 1.1055,                0.84389,                0.70866,                0.76026,                0.58755,                 0.8431,                0.70252,                0.74899,                0.49654,                 1.0151,                 2.1481,                0.90002,                0.96757,              0.0073765,              0.0073765,              0.0073765
                     55,                0.86777,                 1.9636,                0.74317,                 1.1087,                0.82169,                 0.7269,                0.75714,                0.57928,                0.81655,                0.71511,                0.74393,                0.48788,                 1.0467,                 2.2094,                0.88109,                0.97268,               0.007327,               0.007327,               0.007327
                     56,                0.86079,                 1.9122,                 0.7206,                 1.1042,                0.83302,                0.70591,                0.75524,                  0.574,                0.82289,                0.69717,                  0.739,                0.47986,                 1.0433,                 2.2965,                0.89672,                0.96768,              0.0072775,              0.0072775,              0.0072775
                     57,                0.86731,                 1.9264,                0.72399,                 1.1038,                0.83134,                0.70873,                0.75999,                0.58171,                 0.8375,                0.69675,                 0.7438,                0.49006,                 1.0312,                 2.2545,                0.88219,                0.97024,               0.007228,               0.007228,               0.007228
                     58,                0.85531,                 1.9005,                0.71728,                  1.103,                0.82465,                0.72695,                 0.7702,                0.58948,                0.82724,                0.71455,                0.75404,                0.48544,                 1.0453,                  2.188,                0.86168,                0.96847,              0.0071785,              0.0071785,              0.0071785
                     59,                0.85069,                 1.9007,                0.72053,                    1.1,                0.84248,                0.72583,                0.76476,                 0.5852,                0.84152,                0.71665,                0.75153,                0.48953,                 1.0358,                 2.2594,                0.85712,                0.96968,               0.007129,               0.007129,               0.007129
                     60,                0.85064,                 1.9009,                 0.7156,                 1.0976,                 0.8331,                0.71439,                0.75959,                0.58778,                0.82333,                0.70491,                 0.7474,                0.48741,                 1.0217,                 2.1389,                0.87239,                0.94609,              0.0070795,              0.0070795,              0.0070795
                     61,                0.86402,                 1.9159,                0.71983,                  1.107,                0.84359,                0.70825,                0.75732,                0.58428,                0.83313,                0.70047,                 0.7416,                0.49095,                 1.0301,                 2.2174,                 0.8605,                0.95583,                0.00703,                0.00703,                0.00703
                     62,                0.84182,                 1.8855,                0.71095,                 1.0951,                0.81397,                0.71145,                0.75631,                0.57484,                 0.8199,                0.68591,                 0.7324,                0.48298,                 1.0794,                 2.3147,                0.91737,                 1.0014,              0.0069805,              0.0069805,              0.0069805
                     63,                0.83969,                 1.8988,                0.71378,                 1.0941,                0.82699,                0.72305,                0.76559,                0.59105,                0.82284,                0.71176,                0.74838,                0.48732,                 1.0216,                 2.1912,                0.85421,                0.94635,               0.006931,               0.006931,               0.006931
                     64,                0.84494,                 1.8928,                0.71156,                 1.0962,                0.83795,                0.71019,                 0.7555,                0.58972,                0.82717,                0.70388,                0.74323,                0.48335,                 1.0148,                 2.2568,                0.86131,                 0.9516,              0.0068815,              0.0068815,              0.0068815
                     65,                0.83625,                 1.8726,                0.70118,                 1.0923,                0.83561,                0.71795,                  0.761,                0.57901,                0.83545,                0.70441,                0.74665,                0.48158,                 1.0549,                  2.253,                0.87184,                0.98134,               0.006832,               0.006832,               0.006832
                     66,                 0.8444,                  1.875,                0.70719,                 1.0956,                0.83941,                0.72501,                0.76555,                0.59386,                 0.8448,                0.70528,                0.74961,                0.49608,                 1.0031,                  2.206,                0.84608,                0.93789,              0.0067825,              0.0067825,              0.0067825
                     67,                0.83998,                 1.8728,                0.70605,                 1.0919,                0.84328,                0.70702,                0.75306,                0.58228,                0.82626,                0.69733,                0.73611,                0.48677,                 1.0335,                 2.2707,                0.90288,                0.95881,               0.006733,               0.006733,               0.006733
                     68,                 0.8446,                 1.8838,                 0.7081,                  1.097,                0.82705,                0.71804,                0.76217,                0.58863,                0.83663,                0.70546,                0.75076,                0.48776,                 1.0203,                 2.2165,                0.84757,                0.95152,              0.0066835,              0.0066835,              0.0066835
                     69,                0.83965,                 1.8742,                0.70318,                 1.0919,                0.84636,                0.71451,                0.76336,                0.59659,                 0.8285,                0.70264,                0.74569,                0.49373,                 1.0195,                 2.1712,                0.86511,                0.95755,               0.006634,               0.006634,               0.006634
                     70,                0.83683,                 1.8474,                0.69644,                 1.0912,                0.82763,                0.72749,                0.76115,                0.58505,                0.82899,                0.71528,                0.74884,                0.48395,                  1.026,                 2.2391,                0.85538,                0.95982,              0.0065845,              0.0065845,              0.0065845
                     71,                0.82744,                  1.847,                0.69199,                 1.0866,                0.85345,                0.70789,                0.76411,                0.59555,                0.84512,                0.69894,                0.75053,                0.49508,                 1.0031,                 2.1607,                0.84786,                0.94004,               0.006535,               0.006535,               0.006535
                     72,                 0.8347,                 1.8475,                0.69587,                 1.0853,                0.84473,                 0.7231,                0.77029,                0.58619,                0.84699,                0.70339,                0.74935,                0.49406,                 1.0315,                  2.194,                 0.8402,                0.96724,              0.0064855,              0.0064855,              0.0064855
                     73,                0.82312,                 1.8176,                0.68513,                 1.0831,                0.83619,                0.71298,                0.76362,                0.58643,                0.82603,                 0.6988,                0.74529,                0.48835,                 1.0242,                 2.1885,                 0.8595,                0.94763,               0.006436,               0.006436,               0.006436
                     74,                0.82561,                 1.8367,                0.69072,                 1.0843,                0.85897,                0.70262,                0.75484,                0.58624,                0.85002,                0.69684,                0.74225,                0.48794,                0.99896,                 2.2182,                0.85717,                0.93231,              0.0063865,              0.0063865,              0.0063865
                     75,                0.82481,                 1.8082,                0.68608,                 1.0816,                0.83157,                0.71227,                0.75805,                0.58089,                0.83552,                0.69133,                0.73917,                0.49329,                   1.04,                 2.3031,                 0.8735,                0.96895,               0.006337,               0.006337,               0.006337
                     76,                0.82343,                 1.8179,                0.68269,                 1.0805,                0.83637,                0.72212,                0.76386,                0.59726,                0.85377,                0.69673,                0.74565,                0.50072,                 1.0272,                 2.2014,                0.85884,                0.96449,              0.0062875,              0.0062875,              0.0062875
                     77,                0.82083,                 1.8255,                 0.6816,                 1.0774,                0.84919,                0.71382,                0.76693,                0.58587,                0.82625,                0.70313,                0.74393,                0.48886,                 1.0401,                 2.1741,                  0.877,                0.97252,               0.006238,               0.006238,               0.006238
                     78,                0.81934,                 1.8146,                0.67532,                 1.0781,                0.83172,                0.72651,                0.76447,                0.59001,                0.81388,                 0.7137,                0.74231,                0.49178,                 1.0635,                 2.1984,                0.88969,                0.98566,              0.0061885,              0.0061885,              0.0061885
                     79,                0.82844,                 1.8298,                 0.6905,                 1.0863,                0.83222,                0.72178,                0.76355,                0.59516,                0.83965,                0.69971,                0.74799,                0.49696,                 1.0323,                 2.2029,                0.87677,                0.96443,               0.006139,               0.006139,               0.006139
                     80,                0.81115,                 1.8081,                 0.6759,                 1.0777,                0.85271,                 0.7122,                0.76155,                 0.5917,                0.84247,                0.70458,                0.74598,                0.49151,                   1.02,                 2.2617,                0.85018,                0.95637,              0.0060895,              0.0060895,              0.0060895
                     81,                0.80807,                 1.7995,                0.66816,                 1.0723,                0.84002,                0.71959,                 0.7607,                0.58888,                0.83692,                0.70299,                0.74042,                0.49206,                 1.0191,                 2.2752,                0.84188,                0.94583,                0.00604,                0.00604,                0.00604
                     82,                0.81156,                 1.7831,                0.66814,                 1.0734,                0.82798,                0.72786,                0.76149,                0.58505,                0.83279,                 0.7129,                0.74958,                0.48512,                 1.0349,                 2.2432,                0.84921,                0.95766,              0.0059905,              0.0059905,              0.0059905
