                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.76671,                 1.6587,                0.61597,                 1.0532,                 0.8497,                0.71497,                0.76155,                0.58422,                0.83565,                0.70464,                0.74606,                0.48989,                 1.0536,                 2.2965,                0.85861,                0.97919,              0.0047035,              0.0047035,              0.0047035
                    109,                0.77038,                 1.6728,                0.61568,                 1.0494,                0.85196,                0.71855,                 0.7617,                0.58272,                0.86803,                0.69404,                0.74531,                0.48597,                  1.043,                 2.3653,                0.84521,                0.96891,               0.004654,               0.004654,               0.004654
                    110,                0.75509,                 1.6455,                0.61102,                 1.0433,                0.86396,                0.70905,                0.76384,                0.58041,                0.81941,                0.71194,                0.74494,                0.48474,                 1.0482,                 2.3922,                0.83941,                0.97211,              0.0046045,              0.0046045,              0.0046045
                    111,                0.76266,                 1.6604,                0.61399,                 1.0484,                0.83098,                0.72465,                0.76547,                0.58781,                0.81827,                0.71538,                0.74843,                0.48779,                 1.0393,                 2.3114,                0.82907,                0.96669,               0.004555,               0.004555,               0.004555
                    112,                0.75786,                 1.6504,                0.61013,                 1.0459,                 0.8456,                0.71789,                 0.7643,                 0.5878,                0.84864,                0.70724,                0.74845,                0.49252,                 1.0472,                 2.3361,                0.86117,                0.96756,              0.0045055,              0.0045055,              0.0045055
                    113,                0.75536,                 1.6266,                0.60928,                 1.0457,                0.82113,                 0.7247,                 0.7566,                0.58229,                0.81073,                0.71313,                0.74397,                0.48654,                 1.0489,                  2.344,                0.85697,                 0.9662,               0.004456,               0.004456,               0.004456
                    114,                0.75876,                 1.6505,                0.61699,                 1.0472,                0.84921,                 0.7181,                0.76248,                0.58642,                0.82679,                0.70245,                0.74337,                0.48461,                 1.0582,                 2.3972,                 0.8484,                0.98239,              0.0044065,              0.0044065,              0.0044065
                    115,                0.74554,                 1.6298,                0.60672,                   1.04,                0.84422,                0.70977,                0.75794,                0.58621,                0.83383,                0.70165,                0.74175,                0.48965,                 1.0411,                 2.3487,                0.85798,                0.97116,               0.004357,               0.004357,               0.004357
                    116,                0.75659,                 1.6141,                0.60297,                  1.044,                0.85176,                0.71183,                0.75753,                0.58515,                0.82056,                0.71003,                0.74274,                0.48487,                 1.0474,                 2.4309,                0.84724,                0.96906,              0.0043075,              0.0043075,              0.0043075
                    117,                0.74938,                 1.6357,                0.59967,                 1.0395,                0.83456,                0.71932,                0.76096,                0.58459,                0.82502,                0.70782,                0.74143,                0.48698,                 1.0569,                 2.3662,                0.85638,                0.97522,               0.004258,               0.004258,               0.004258
                    118,                0.75058,                 1.6228,                0.59745,                 1.0397,                0.84562,                0.71782,                0.75998,                0.58175,                0.82795,                0.70832,                0.74064,                0.48545,                 1.0651,                 2.3559,                0.85785,                0.99064,              0.0042085,              0.0042085,              0.0042085
                    119,                0.74644,                 1.6107,                0.59942,                 1.0414,                0.83232,                0.72103,                0.75914,                0.58545,                0.82061,                0.71088,                0.74239,                0.48874,                 1.0491,                 2.3944,                0.85215,                0.97692,               0.004159,               0.004159,               0.004159
                    120,                0.73863,                 1.6033,                0.59158,                 1.0345,                0.82746,                0.72033,                0.75578,                0.58198,                0.83274,                0.70505,                 0.7384,                0.48365,                 1.0458,                 2.4003,                0.85051,                0.97218,              0.0041095,              0.0041095,              0.0041095
                    121,                0.74591,                 1.6064,                0.59106,                 1.0371,                0.83828,                 0.7179,                0.75975,                0.58244,                0.82648,                0.70195,                0.73939,                0.48335,                 1.0552,                  2.362,                0.85048,                0.97862,                0.00406,                0.00406,                0.00406
                    122,                0.75264,                 1.6225,                 0.5989,                 1.0428,                0.82137,                0.72884,                0.75781,                0.57645,                0.81985,                0.70703,                0.74105,                0.48466,                 1.0747,                 2.3761,                0.86721,                0.99618,              0.0040105,              0.0040105,              0.0040105
                    123,                 0.7413,                 1.5919,                 0.5886,                 1.0333,                0.83566,                0.72111,                 0.7582,                0.58395,                0.82666,                0.71214,                0.74037,                0.48715,                 1.0623,                 2.4311,                0.85868,                0.98223,               0.003961,               0.003961,               0.003961
                    124,                0.73686,                 1.5993,                0.59005,                 1.0347,                0.83518,                0.71754,                0.76147,                0.57936,                0.81998,                0.70662,                 0.7416,                0.48801,                 1.0772,                 2.3773,                0.86486,                 0.9864,              0.0039115,              0.0039115,              0.0039115
                    125,                0.73431,                 1.5836,                0.58236,                  1.031,                0.83193,                0.71472,                0.75678,                 0.5771,                0.81835,                0.70621,                0.74222,                0.48317,                 1.0901,                 2.4516,                0.87467,                 1.0053,               0.003862,               0.003862,               0.003862
                    126,                0.74082,                 1.5838,                0.58776,                  1.037,                0.83192,                0.71941,                0.75662,                0.58195,                0.83827,                0.70303,                0.73987,                0.48321,                 1.0632,                 2.3971,                0.85744,                 0.9853,              0.0038125,              0.0038125,              0.0038125
                    127,                0.73659,                 1.5906,                0.58384,                 1.0312,                0.84387,                0.71078,                0.75637,                0.58161,                0.84183,                0.69389,                0.73783,                0.48385,                 1.0623,                 2.4439,                0.86626,                0.99277,               0.003763,               0.003763,               0.003763
                    128,                0.73704,                 1.5783,                0.58087,                 1.0306,                0.84622,                0.70931,                0.75855,                0.58324,                 0.8328,                0.70033,                0.73893,                 0.4852,                 1.0534,                 2.4173,                0.85667,                0.97649,              0.0037135,              0.0037135,              0.0037135
                    129,                0.73394,                 1.5856,                0.57704,                 1.0301,                0.84941,                 0.7169,                0.76013,                 0.5822,                 0.8412,                0.70491,                0.74257,                0.48454,                  1.052,                 2.4633,                 0.8452,                0.97788,               0.003664,               0.003664,               0.003664
                    130,                0.73507,                 1.5899,                0.58592,                 1.0323,                0.82845,                0.72108,                 0.7587,                0.58501,                0.83769,                0.69986,                0.73922,                0.48596,                 1.0507,                 2.4016,                0.85979,                0.97636,              0.0036145,              0.0036145,              0.0036145
                    131,                0.72737,                 1.5668,                   0.58,                 1.0275,                0.82283,                0.72286,                0.75624,                0.57808,                0.82592,                0.70407,                0.73612,                0.48693,                 1.0693,                 2.4474,                0.86147,                0.99433,               0.003565,               0.003565,               0.003565
                    132,                 0.7269,                 1.5641,                0.57663,                 1.0283,                0.82304,                0.72841,                0.76413,                 0.5863,                0.81823,                  0.714,                0.74426,                 0.4897,                 1.0575,                  2.476,                 0.8382,                0.98094,              0.0035155,              0.0035155,              0.0035155
                    133,                0.72645,                 1.5617,                0.57258,                 1.0276,                0.84084,                0.72005,                0.76137,                0.58641,                0.83116,                0.71215,                0.74578,                0.49155,                 1.0615,                 2.4364,                 0.8494,                0.98888,               0.003466,               0.003466,               0.003466
                    134,                0.72713,                 1.5502,                0.56845,                 1.0295,                 0.8312,                0.72318,                0.75939,                0.58367,                0.82336,                0.70959,                 0.7406,                0.48918,                 1.0511,                 2.4664,                0.84597,                0.97966,              0.0034165,              0.0034165,              0.0034165
                    135,                0.72877,                 1.5582,                0.57759,                 1.0282,                0.85207,                   0.72,                0.76467,                0.58289,                0.83417,                0.70802,                0.74216,                0.49077,                 1.0688,                 2.4802,                0.85859,                0.99666,               0.003367,               0.003367,               0.003367
                    136,                0.72567,                  1.557,                0.57837,                 1.0264,                0.82821,                0.72229,                0.75741,                0.58179,                0.82379,                0.71145,                0.73999,                0.49135,                 1.0769,                 2.4576,                0.86512,                0.99858,              0.0033175,              0.0033175,              0.0033175
                    137,                0.72241,                 1.5592,                0.56858,                 1.0242,                0.83578,                0.72708,                0.76028,                0.58147,                0.82345,                0.70698,                0.73811,                0.48762,                  1.059,                 2.4975,                 0.8537,                0.98426,               0.003268,               0.003268,               0.003268
                    138,                0.71995,                 1.5464,                0.56619,                 1.0236,                0.84372,                0.71488,                0.76034,                0.58179,                0.82702,                0.70802,                0.74393,                0.48258,                 1.0637,                 2.4751,                0.84764,                0.99005,              0.0032185,              0.0032185,              0.0032185
                    139,                0.71745,                  1.546,                0.56346,                 1.0242,                0.83902,                 0.7182,                0.75933,                0.58022,                0.84749,                0.70387,                0.74215,                0.48647,                 1.0668,                  2.491,                0.86021,                0.99518,               0.003169,               0.003169,               0.003169
                    140,                0.71733,                 1.5323,                0.56468,                 1.0215,                0.83874,                0.71335,                0.75676,                0.57961,                0.83579,                0.70515,                0.74241,                0.48507,                 1.0604,                 2.4968,                0.85419,                0.98538,              0.0031195,              0.0031195,              0.0031195
                    141,                0.70465,                 1.5097,                0.55293,                 1.0134,                 0.8496,                0.71548,                0.75446,                0.58014,                0.83605,                0.70639,                0.73795,                0.48783,                 1.0618,                 2.5613,                0.85297,                0.99359,                0.00307,                0.00307,                0.00307
                    142,                0.71364,                 1.5237,                 0.5569,                 1.0204,                0.85835,                0.71123,                0.76085,                0.58429,                0.84412,                0.70088,                0.74124,                0.48997,                 1.0584,                 2.5249,                 0.8447,                 0.9914,              0.0030205,              0.0030205,              0.0030205
                    143,                0.71981,                 1.5288,                0.56288,                 1.0238,                0.82777,                0.71297,                0.75395,                0.58136,                0.81538,                0.71527,                0.74142,                0.48446,                  1.063,                 2.5019,                0.85726,                0.99203,               0.002971,               0.002971,               0.002971
                    144,                0.71326,                 1.5313,                0.56469,                 1.0187,                0.85029,                0.70801,                0.75952,                0.58162,                0.84316,                0.70295,                0.74719,                0.48552,                 1.0715,                 2.5188,                0.84659,                 1.0004,              0.0029215,              0.0029215,              0.0029215
                    145,                0.70936,                 1.5258,                0.55314,                 1.0171,                0.85461,                0.70602,                0.75917,                0.58021,                0.84338,                0.69817,                0.74324,                  0.484,                 1.0712,                 2.5456,                0.84638,                 1.0014,               0.002872,               0.002872,               0.002872
                    146,                0.70831,                  1.502,                0.55582,                 1.0189,                0.84162,                 0.7269,                0.76425,                0.58407,                0.82934,                0.71285,                0.74536,                0.48782,                 1.0702,                 2.5058,                 0.8273,                0.99637,              0.0028225,              0.0028225,              0.0028225
                    147,                0.70631,                 1.5172,                0.55306,                 1.0157,                0.83252,                0.72447,                0.76115,                0.58057,                0.87326,                0.69232,                0.74328,                0.48376,                 1.0692,                 2.5429,                0.83826,                 0.9992,               0.002773,               0.002773,               0.002773
                    148,                0.69995,                 1.4937,                0.54564,                 1.0143,                0.85296,                0.71841,                0.76111,                0.58131,                0.83782,                0.70867,                0.74474,                0.48567,                 1.0741,                 2.5743,                0.84979,                0.99416,              0.0027235,              0.0027235,              0.0027235
                    149,                0.69809,                 1.5102,                0.54783,                 1.0138,                0.83922,                0.72228,                0.75904,                0.58017,                0.81854,                0.71953,                0.74282,                0.48836,                 1.0673,                  2.575,                0.85571,                0.99546,               0.002674,               0.002674,               0.002674
                    150,                0.70142,                 1.4892,                 0.5445,                 1.0126,                0.84701,                0.71992,                0.75937,                0.58274,                0.83516,                0.71518,                0.74549,                0.48652,                 1.0739,                 2.5694,                0.84444,                 0.9943,              0.0026245,              0.0026245,              0.0026245
                    151,                0.70106,                 1.4986,                0.54418,                 1.0176,                0.86075,                0.70896,                0.75598,                0.58021,                0.83961,                0.70391,                0.74004,                0.48333,                 1.0692,                 2.6066,                0.85229,                 0.9943,               0.002575,               0.002575,               0.002575
                    152,                0.69294,                 1.4688,                0.53428,                  1.009,                0.83137,                 0.7202,                0.75614,                 0.5794,                 0.8214,                0.70584,                0.73483,                0.48255,                 1.0723,                 2.6398,                0.85541,                0.99886,              0.0025255,              0.0025255,              0.0025255
                    153,                0.70357,                 1.4917,                0.54682,                 1.0138,                0.84771,                0.71483,                0.75894,                0.58095,                0.82934,                0.70225,                0.73521,                0.48144,                 1.0696,                 2.6277,                0.85752,                0.99983,               0.002476,               0.002476,               0.002476
                    154,                0.69332,                 1.4885,                0.54125,                 1.0105,                0.84495,                0.71607,                0.75481,                0.57837,                0.82822,                0.70491,                0.73603,                0.48371,                 1.0752,                  2.637,                0.84872,                 1.0046,              0.0024265,              0.0024265,              0.0024265
                    155,                0.68937,                 1.4764,                0.53898,                 1.0099,                0.84255,                0.71922,                0.75567,                0.57996,                0.82335,                 0.7096,                0.73703,                0.48518,                 1.0704,                 2.6305,                 0.8517,                 1.0009,               0.002377,               0.002377,               0.002377
                    156,                0.68749,                 1.4761,                0.53196,                  1.009,                 0.8453,                 0.7222,                0.75803,                0.58313,                0.82251,                0.70984,                0.73649,                0.48467,                 1.0717,                  2.605,                0.84619,                 1.0011,              0.0023275,              0.0023275,              0.0023275
                    157,                0.69145,                 1.4663,                0.53549,                   1.01,                0.84143,                 0.7176,                0.75848,                0.58023,                0.82225,                0.70545,                0.73646,                0.48456,                 1.0706,                 2.6029,                0.84986,                 1.0017,               0.002278,               0.002278,               0.002278
                    158,                0.69174,                 1.4848,                0.53955,                 1.0086,                0.81861,                0.72779,                0.75707,                0.58331,                0.80552,                0.71478,                0.73447,                0.48566,                 1.0675,                 2.6016,                 0.8574,                 1.0082,              0.0022285,              0.0022285,              0.0022285
                    159,                0.69154,                 1.4757,                0.53104,                 1.0141,                0.82402,                0.72162,                 0.7538,                0.58219,                0.80646,                0.71501,                 0.7354,                0.48668,                 1.0652,                 2.5831,                0.85309,                0.99857,               0.002179,               0.002179,               0.002179
                    160,                0.68701,                 1.4534,                0.52746,                 1.0056,                0.82446,                0.72374,                0.75258,                0.58077,                0.82211,                0.70615,                0.73701,                0.48575,                 1.0723,                 2.5748,                0.85017,                 1.0078,              0.0021295,              0.0021295,              0.0021295
                    161,                  0.689,                 1.4578,                0.53215,                 1.0094,                0.83297,                0.72388,                0.75506,                0.58114,                0.82089,                0.71172,                0.73722,                0.48637,                 1.0727,                 2.5781,                0.85624,                 1.0047,                0.00208,                0.00208,                0.00208
                    162,                0.68746,                 1.4447,                0.52669,                 1.0054,                0.83978,                0.71529,                0.75529,                0.58167,                0.82727,                0.70598,                0.73757,                0.48709,                 1.0684,                 2.5584,                  0.852,                 1.0016,              0.0020305,              0.0020305,              0.0020305
                    163,                 0.6754,                 1.4326,                0.52364,                 1.0029,                0.83544,                0.72053,                0.75608,                0.58212,                0.82065,                 0.7102,                0.73791,                0.48639,                 1.0662,                 2.6134,                0.84835,                 1.0019,               0.001981,               0.001981,               0.001981
                    164,                0.68408,                 1.4497,                0.52076,                 1.0073,                0.84447,                0.72139,                 0.7581,                0.58159,                0.82567,                0.70668,                0.73756,                0.48378,                  1.077,                 2.6455,                0.84247,                 1.0069,              0.0019315,              0.0019315,              0.0019315
                    165,                0.68187,                 1.4295,                0.52431,                 1.0023,                0.84426,                0.72048,                0.75753,                 0.5806,                0.82304,                0.71744,                0.74105,                0.48439,                 1.0784,                 2.6726,                0.84367,                 1.0115,               0.001882,               0.001882,               0.001882
                    166,                0.68557,                 1.4626,                0.52651,                 1.0036,                0.85697,                0.71845,                0.75826,                 0.5846,                0.84346,                0.71019,                 0.7423,                0.48834,                 1.0736,                 2.6307,                0.84411,                 1.0063,              0.0018325,              0.0018325,              0.0018325
                    167,                0.68163,                 1.4409,                 0.5252,                  1.005,                0.83579,                0.72377,                0.75982,                 0.5834,                 0.8241,                0.71599,                0.74312,                0.48689,                 1.0732,                 2.6258,                0.84384,                 1.0046,               0.001783,               0.001783,               0.001783
                    168,                0.67077,                 1.4227,                0.51792,                0.99678,                0.83745,                0.72462,                0.75655,                0.58004,                0.82149,                0.71347,                 0.7385,                0.48603,                 1.0803,                 2.6447,                0.84935,                 1.0103,              0.0017335,              0.0017335,              0.0017335
                    169,                0.66697,                 1.4244,                0.51723,                0.99435,                0.85076,                0.71158,                0.75777,                0.58032,                0.83543,                0.70235,                0.73775,                0.48635,                  1.075,                 2.6514,                0.84267,                 1.0091,               0.001684,               0.001684,               0.001684
                    170,                0.68476,                 1.4356,                0.52304,                 1.0075,                0.83997,                0.72682,                0.76219,                0.58238,                 0.8171,                  0.718,                0.74041,                0.48551,                 1.0743,                 2.6721,                0.83516,                 1.0093,              0.0016345,              0.0016345,              0.0016345
                    171,                0.67346,                 1.4231,                0.51808,                0.99998,                0.83896,                 0.7215,                0.75875,                0.58067,                0.82175,                0.71083,                0.73942,                0.48587,                 1.0847,                 2.6587,                0.84566,                 1.0145,               0.001585,               0.001585,               0.001585
                    172,                0.67631,                 1.4314,                0.51928,                0.99957,                0.83684,                0.72288,                0.76058,                0.58246,                0.81055,                0.71409,                0.73763,                0.48615,                 1.0861,                 2.6604,                0.84195,                 1.0156,              0.0015355,              0.0015355,              0.0015355
                    173,                0.67599,                 1.4259,                0.51655,                 1.0052,                0.84415,                0.71997,                0.76096,                 0.5848,                0.83331,                 0.7048,                0.74046,                0.48734,                 1.0797,                 2.6654,                0.84551,                 1.0135,               0.001486,               0.001486,               0.001486
                    174,                0.66284,                 1.3993,                0.50779,                0.99339,                0.84014,                0.71534,                 0.7596,                 0.5829,                0.83984,                0.70325,                0.74157,                 0.4874,                 1.0785,                 2.6561,                0.84527,                 1.0122,              0.0014365,              0.0014365,              0.0014365
                    175,                0.66656,                 1.4143,                 0.5118,                0.99766,                0.83854,                 0.7146,                0.75722,                0.58303,                0.83288,                 0.7051,                0.73765,                0.48695,                   1.08,                 2.6865,                0.85002,                 1.0153,               0.001387,               0.001387,               0.001387
                    176,                0.66565,                 1.4183,                0.50902,                0.99637,                0.84824,                0.71258,                 0.7565,                0.58314,                0.83403,                0.70597,                0.74069,                0.48843,                 1.0777,                 2.6544,                0.84524,                 1.0125,              0.0013375,              0.0013375,              0.0013375
